row,original,cleaned,removed_sentences
140,The person in the image has a fair complexion and is wearing a blue top. The background is blurred and not relevant to the description.,The person in the image has a fair complexion and is wearing a blue top.,[]
506,The person in the image has a light complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light complexion and is wearing a white shirt.,[]
517,The person in the image has a medium complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium complexion and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
1004,The person in the image has dark hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has dark hair and is wearing a white shirt.,[]
1205,The person in the image has blue eyes and is wearing a blue shirt. The background is blurred and not relevant to the description.,The person in the image has blue eyes and is wearing a blue shirt.,[]
1312,The person in the image has light skin and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white top.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
1882,The person in the image has blonde hair and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white top.,[]
2365,The person in the image has a beard and is wearing a red shirt. The background is blurred and not relevant to the description.,The person in the image has a beard and is wearing a red shirt.,[]
2504,The person in the image has a medium skin tone and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white top.,[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
3275,The person in the image has a beard and is wearing a hat. The background is blurred and not relevant to the description.,The person in the image has a beard and is wearing a hat.,[]
3929,"The person in the image has a fair complexion and is wearing a white shirt. They have short, dark hair and are smiling, showing their teeth. The background is blurred and not relevant to the description.","The person in the image has a fair complexion and is wearing a white shirt. They have short, dark hair and are smiling, showing their teeth.",[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
2504,The person in the image has a medium skin tone and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white top.,[]
506,The person in the image has a light complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light complexion and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
2365,The person in the image has a beard and is wearing a red shirt. The background is blurred and not relevant to the description.,The person in the image has a beard and is wearing a red shirt.,[]
4826,"The person in the image is a male with a fair complexion, short hair, and a slight smile. He has a round face with a prominent chin and a slight double chin. His eyes are partially visible, and he appears to be wearing glasses. The background of the image is not relevant to the description.","The person in the image is a male with a fair complexion, short hair, and a slight smile. He has a round face with a prominent chin and a slight double chin. His eyes are partially visible, and he appears to be wearing glasses.",[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
5773,The person in the image has a medium skin tone and is wearing a blue top. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a blue top.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
6056,"The person in the image has short, dark hair and is wearing a white shirt. The background is blurred and not relevant to the description.","The person in the image has short, dark hair and is wearing a white shirt.",[]
506,The person in the image has a light complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light complexion and is wearing a white shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
6664,The person in the image appears to be an older individual with a neutral facial expression. They have visible wrinkles and some age-related skin changes. The background is not relevant to the description.,The person in the image appears to be an older individual with a neutral facial expression. They have visible wrinkles and some age-related skin changes.,[]
6714,"The person in the image is a woman with a warm, friendly smile. She has a medium skin tone and her facial features are not distinctly highlighted in the provided description.","The person in the image is a woman with a warm, friendly smile.",[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
7218,The person in the image has a medium skin tone and is wearing a green shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a green shirt.,[]
6056,"The person in the image has short, dark hair and is wearing a white shirt. The background is blurred and not relevant to the description.","The person in the image has short, dark hair and is wearing a white shirt.",[]
6056,"The person in the image has short, dark hair and is wearing a white shirt. The background is blurred and not relevant to the description.","The person in the image has short, dark hair and is wearing a white shirt.",[]
7436,The person in the image has curly hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has curly hair and is wearing a white shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
517,The person in the image has a medium complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium complexion and is wearing a white shirt.,[]
7848,The person in the image has a medium skin tone and is wearing a red lipstick. They have dark hair and are wearing a black top. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a red lipstick. They have dark hair and are wearing a black top.,[]
8151,"The person in the image has a fair complexion and is wearing a green top. They have long, dark hair and are smiling, showing their teeth. The background is blurred and not relevant to the description.","The person in the image has a fair complexion and is wearing a green top. They have long, dark hair and are smiling, showing their teeth.",[]
8892,The person in the image has blue eyes and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blue eyes and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
9427,The person in the image has a beard and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a beard and is wearing a white shirt.,[]
9598,"The person in the image has a medium skin tone, a mustache, and is wearing a black shirt. The background is blurred and not relevant to the description.","The person in the image has a medium skin tone, a mustache, and is wearing a black shirt.",[]
9703,"The person in the image has a neutral facial expression, with a straight gaze and no visible distinctive features. The background is not relevant to the description.","The person in the image has a neutral facial expression, with a straight gaze and no visible distinctive features.",[]
10251,The person in the image has a light skin tone and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has a light skin tone and is wearing a white top.,[]
7848,The person in the image has a medium skin tone and is wearing a red lipstick. They have dark hair and are wearing a black top. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a red lipstick. They have dark hair and are wearing a black top.,[]
10613,The person in the image has light skin and blonde hair. They are wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and blonde hair. They are wearing a white shirt.,[]
506,The person in the image has a light complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light complexion and is wearing a white shirt.,[]
10941,The person in the image has a fair complexion and blue eyes. They are wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a fair complexion and blue eyes. They are wearing a white shirt.,[]
11096,The person in the image has a fair complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a fair complexion and is wearing a white shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
11096,The person in the image has a fair complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a fair complexion and is wearing a white shirt.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
11096,The person in the image has a fair complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a fair complexion and is wearing a white shirt.,[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
13010,The person in the image has blonde hair and is wearing a blue shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a blue shirt.,[]
13315,The person in the image has a light skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light skin tone and is wearing a white shirt.,[]
517,The person in the image has a medium complexion and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium complexion and is wearing a white shirt.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
8892,The person in the image has blue eyes and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blue eyes and is wearing a white shirt.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
9427,The person in the image has a beard and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a beard and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
1882,The person in the image has blonde hair and is wearing a white top. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white top.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
14200,"The person in the image appears to be a woman with a neutral expression. She has a fair complexion and her facial features include a straight nose, full lips, and a round face. There are no distinctive marks or scars visible on her face. The background of the image is not relevant to the description.","The person in the image appears to be a woman with a neutral expression. She has a fair complexion and her facial features include a straight nose, full lips, and a round face. There are no distinctive marks or scars visible on her face.",[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
8892,The person in the image has blue eyes and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blue eyes and is wearing a white shirt.,[]
14849,"The person in the image has a medium skin tone, dark hair, and is wearing a white shirt. The background is blurred and not relevant to the description.","The person in the image has a medium skin tone, dark hair, and is wearing a white shirt.",[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
13315,The person in the image has a light skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a light skin tone and is wearing a white shirt.,[]
670,The person in the image has a medium skin tone and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a white shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
12192,The person in the image has a medium skin tone and is wearing a black shirt. The background is blurred and not relevant to the description.,The person in the image has a medium skin tone and is wearing a black shirt.,[]
1606,The person in the image has light skin and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a white shirt.,[]
17087,The person in the image appears to be a woman with a neutral facial expression. She has dark hair and is wearing a dark top. The background is blurred and not relevant to the description.,The person in the image appears to be a woman with a neutral facial expression. She has dark hair and is wearing a dark top.,[]
2565,The person in the image has blonde hair and is wearing a white shirt. The background is blurred and not relevant to the description.,The person in the image has blonde hair and is wearing a white shirt.,[]
17466,"The person in the image has a medium skin tone, a mustache, and a goatee. They are wearing a black shirt. The background is blurred and not relevant to the description.","The person in the image has a medium skin tone, a mustache, and a goatee. They are wearing a black shirt.",[]
6056,"The person in the image has short, dark hair and is wearing a white shirt. The background is blurred and not relevant to the description.","The person in the image has short, dark hair and is wearing a white shirt.",[]
17570,The person in the image has light skin and is wearing a pink top. The background is blurred and not relevant to the description.,The person in the image has light skin and is wearing a pink top.,[]
